评论id,发布时间,用户id,用户昵称,用户城市,点赞数,回复数,评论内容
4765751774544077,Thu May 05 13:07:08 +0800 2022,6570121219,洁西卡卡啦,上海,3929,619,真的吗，我不信
4765752709615678,Thu May 05 13:10:52 +0800 2022,5644676664,戬谷y,四川,7941,595,有些人出警出魔怔了，就算这个歌词是写的性，那也是正常的不应该被骂低俗下流的，相爱的男女之间的性不应该趋之若鹜谈性色变
4765753267718297,Thu May 05 13:13:05 +0800 2022,6361193628,asjdjxsjwujssjkslxllkd,海外,4997,80,马师其实不管歌词意思是你这篇微博写的这样还是写其他的，你都不用解释，有理智的当代年轻成年人大部分都能接受你词的内容不觉得有什么不妥。现在网友低龄化，很多啥都不懂的小屁孩跟着网上的风开始上纲上线，无需解释你没错。新歌也很好听。
4765760042042360,Thu May 05 13:40:00 +0800 2022,5033629474,ggsyyyy,四川 成都,4917,323,不做爱怎么生三胎？？
4765751905357004,Thu May 05 13:07:40 +0800 2022,7502504749,一小壶奈酒,其他,2991,3,来啦，意思是别天天啥事都搞文字狱了，嗯（
4765752609472779,Thu May 05 13:10:27 +0800 2022,2475170641,xstela,重庆,2578,14,难得马师这么好脾气地解释一番网友胡说八道真的很让人生气
4765754346179874,Thu May 05 13:17:22 +0800 2022,1807484383,也是福,四川 成都,1721,64,我们只是想做一首好听的歌
4765767168692585,Thu May 05 14:08:19 +0800 2022,7501847899,loveflada,江西,1209,23,演出的时候一群人喊yml的名字又在尊重人家么现在又开始说不尊重女性搞什么文字狱啊
4765752265281241,Thu May 05 13:09:06 +0800 2022,5393085749,SuperbEYI,河南 新乡,1185,22,这歌本来受众群体就不是他们 他们在胡说什么?
4765753284758875,Thu May 05 13:13:09 +0800 2022,3528432525,下次一定见面见面,宁夏 银川,961,13,少冲浪多爱yml谢谢我们还等着你们的婚礼
4765759085219779,Thu May 05 13:36:12 +0800 2022,6986546876,雪山誦經峭壁高歌,其他,878,171,？就算是性 怎么了？
4765752441441626,Thu May 05 13:09:48 +0800 2022,3640624593,不断上昇,海外,400,16,下次还是学ty用尿涨压咯 省得被解读
4765753977342647,Thu May 05 13:15:54 +0800 2022,5303770709,NeedMeNow7,海外,428,24,马师你以前不这样啊 我都替你生气了
4765756610315206,Thu May 05 13:26:21 +0800 2022,5635681271,kaaajo,山东 济南,407,1,“不了解我的作品 那我得到你们的认可干嘛”
4765754241581132,Thu May 05 13:16:56 +0800 2022,6617364528,悲伤土豆粉uu,陕西 西安,360,9,没必要解释，懂你的自然懂，不懂的怎么说也没总
4765753812718069,Thu May 05 13:15:15 +0800 2022,2244284910,李祸祸呀,北京 海淀区,396,16,不要在意这些，有些网民真的很狭隘和双标，国外这么多rapper和rnb歌手的歌词不比这颜色多了，不照样被那帮键盘侠吹成狗（都是一波人），是因为听不懂英语纯粹盲目崇拜，所以🐎已经做的很好了，最起码是真正爱音乐的人！满足不了所有人，但一定会有磁场在同一频道的一部分人会一直支持你的
4765752874243827,Thu May 05 13:11:31 +0800 2022,6972658293,哀歌与十四行诗,江苏,224,14,yxh能不能爬
4765754006439853,Thu May 05 13:16:01 +0800 2022,7274724167,Masiwei的小小草莓,四川 成都,204,0,马师从不在公众场合提到梦玲 巡演的时候明确说过不喜欢捆绑 他是他 音乐是音乐 听他的音乐就对了
4765754269896514,Thu May 05 13:17:04 +0800 2022,7522206965,-革命浪漫主义-,其他,145,4,评论有些酸菜鱼真的好酸好菜好多余，首先马师从来没说过这首歌是美女写的，你自己听了yxh的话就觉得美女受了天大委屈，美女从来也没表态，马师现在也出来解释了词的意思。（就算是不解释那个词到底怎么了啊）
4765762138408710,Thu May 05 13:48:20 +0800 2022,5785385363,lanlyaobianyouxiu,四川 成都,122,4,小朋友们还是去听童谣吧 说唱真的不适合你们
4765753511775940,Thu May 05 13:14:03 +0800 2022,5260627005,TangoZ永远得不到的相亲对象,黑龙江,111,4,马先生在回应这事上一直沉着稳重
4765757651552931,Thu May 05 13:30:30 +0800 2022,5594648321,西西里七元钱,四川,126,7,感觉有些人出警已经出魔怔了 就是睡了做了怎么了呢 感觉小情侣在一起这不很正常嘛？？这不就和“你被睡了所以没有贞洁牌坊”一样的道理吗
4765752207605874,Thu May 05 13:08:51 +0800 2022,5515592902,生姜沙丁鱼,山东 济南,63,1,正确的！那些人说的太离谱了
4765754791036530,Thu May 05 13:19:08 +0800 2022,2966960574,烧烤鸡皮,四川,56,3,一些网友自己思想莫名其妙男女之间的很多东西都不一定是要和性挂钩的 只能说猥琐的人太多了 对着别人的作品yy还要倒打一耙
4765753414519848,Thu May 05 13:13:40 +0800 2022,7656478922,马思唯今天发歌了吗EL,其他,40,1,支持
4765755650870435,Thu May 05 13:22:33 +0800 2022,5625478650,Jump4xxx,四川,54,6,马师如果写浦西迪克会不会热搜第一哦
4765771072277449,Thu May 05 14:23:50 +0800 2022,6582666073,慢性桃醺,四川 巴中,71,5,没必要解释，那些说女方不好收场的，难道说女人就不能谈恋爱了吗，难道跟不同的人doi会降低自己的身价吗，为什么要说女生不好收场，追求男女平等不就是为了不让别人去在意这些事吗 ，为什么反倒主动降低身价把观念退回来了，打拳的是她们，立牌坊的也是她们，狠狠无语
4765752533977162,Thu May 05 13:10:10 +0800 2022,1964288607,Isabellaew,陕西,53,0,心里想的什么才会看到什么
4765769625503188,Thu May 05 14:18:05 +0800 2022,5213651747,去摘水星,河南,48,0,是写给女朋友的又怎么样 大清已经亡了网友们！！！！
4765753729090437,Thu May 05 13:14:54 +0800 2022,5303770709,NeedMeNow7,海外,38,0,过分解读 阅读理解作者都不知道答案是什么
4765803218735250,Thu May 05 16:31:34 +0800 2022,5228562518,ChaoticTapeVol,山西,27,0,先说马师这歌根本不是写性的  退一万步讲 即使是写性 又怎样了呢  百年孤独也写性 黄金时代也写性 泰坦尼克号 色戒也描绘性  下流与否取决于想要传达出的情感和字里行间想要表现的价值。
